president,first-term,word_count,fk_grade,readability,text
,,,,,
,,,,,"The voters of the Union, who make and unmake constitutions, and upon whose will hang the destinies of our governments, can transmit their supreme authority to no successors save the coming generation of voters, who are the sole heirs of sovereign power. If that generation comes to its inheritance blinded by ignorance and corrupted by vice, the fall of the Republic will be certain and remediless."
,,,,,
,,,,,The census has already sounded the alarm in the appalling figures which mark how dangerously high the tide of illiteracy has risen among our voters and their children.
,,,,,
,,,,,"To the South this question is of supreme importance. But the responsibility for the existence of slavery did not rest upon the South alone. The nation itself is responsible for the extension of the suffrage, and is under special obligations to aid in removing the illiteracy which it has added to the voting population. For the North and South alike there is but one remedy. All the constitutional power of the nation and of the States and all the volunteer forces of the people should be surrendered to meet this danger by the savory influence of universal education."
,,,,,
,,,,,"It is the high privilege and sacred duty of those now living to educate their successors and fit them, by intelligence and virtue, for the inheritance which awaits them."
,,,,,
,,,,,"In this beneficent work sections and races should be forgotten and partisanship should be unknown. Let our people find a new meaning in the divine oracle which declares that ""a little child shall lead them,"" for our own little children will soon control the destinies of the Republic."
,,,,,
,,,,,"My countrymen, we do not now differ in our judgment concerning the controversies of past generations, and fifty years hence our children will not be divided in their opinions concerning our controversies. They will surely bless their fathers and their fathers' God that the Union was preserved, that slavery was overthrown, and that both races were made equal before the law. We may hasten or we may retard, but we can not prevent, the final reconciliation. Is it not possible for us now to make a truce with time by anticipating and accepting its inevitable verdict?"
,,,,,
,,,,,"Enterprises of the highest importance to our moral and material well-being unite us and offer ample employment of our best powers. Let all our people, leaving behind them the battlefields of dead issues, move forward and in their strength of liberty and the restored Union win the grander victories of peace."
,,,,,
,,,,,"The prosperity which now prevails is without parallel in our history. Fruitful seasons have done much to secure it, but they have not done all. The preservation of the public credit and the resumption of specie payments, so successfully attained by the Administration of my predecessors, have enabled our people to secure the blessings which the seasons brought."
,,,,,
,,,,,"By the experience of commercial nations in all ages it has been found that gold and silver afford the only safe foundation for a monetary system. Confusion has recently been created by variations in the relative value of the two metals, but I confidently believe that arrangements can be made between the leading commercial nations which will secure the general use of both metals. Congress should provide that the compulsory coinage of silver now required by law may not disturb our monetary system by driving either metal out of circulation. If possible, such an adjustment should be made that the purchasing power of every coined dollar will be exactly equal to its debt-paying power in all the markets of the world."
,,,,,
,,,,,"The chief duty of the National Government in connection with the currency of the country is to coin money and declare its value. Grave doubts have been entertained whether Congress is authorized by the Constitution to make any form of paper money legal tender. The present issue of United States notes has been sustained by the necessities of war; but such paper should depend for its value and currency upon its convenience in use and its prompt redemption in coin at the will of the holder, and not upon its compulsory circulation. These notes are not money, but promises to pay money. If the holders demand it, the promise should be kept."
,,,,,
,,,,,"The refunding of the national debt at a lower rate of interest should be accomplished without compelling the withdrawal of the national-bank notes, and thus disturbing the business of the country."
,,,,,
,,,,,"I venture to refer to the position I have occupied on financial questions during a long service in Congress, and to say that time and experience have strengthened the opinions I have so often expressed on these subjects."
,,,,,
,,,,,The finances of the Government shall suffer no detriment which it may be possible for my Administration to prevent.
,,,,,
,,,,,"The interests of agriculture deserve more attention from the Government than they have yet received. The farms of the United States afford homes and employment for more than one-half our people, and furnish much the largest part of all our exports. As the Government lights our coasts for the protection of mariners and the benefit of commerce, so it should give to the tillers of the soil the best lights of practical science and experience."
,,,,,
,,,,,"Our manufacturers are rapidly making us industrially independent, and are opening to capital and labor new and profitable fields of employment. Their steady and healthy growth should still be matured. Our facilities for transportation should be promoted by the continued improvement of our harbors and great interior waterways and by the increase of our tonnage on the ocean."
,,,,,
,,,,,"The development of the world's commerce has led to an urgent demand for shortening the great sea voyage around Cape Horn by constructing ship canals or railways across the isthmus which unites the continents. Various plans to this end have been suggested and will need consideration, but none of them has been sufficiently matured to warrant the United States in extending pecuniary aid. The subject, however, is one which will immediately engage the attention of the Government with a view to a thorough protection to American interests. We will urge no narrow policy nor seek peculiar or exclusive privileges in any commercial route; but, in the language of my predecessor, I believe it to be the right ""and duty of the United States to assert and maintain such supervision and authority over any interoceanic canal across the isthmus that connects North and South America as will protect our national interest."""
,,,,,
,,,,,"The Constitution guarantees absolute religious freedom. Congress is prohibited from making any law respecting an establishment of religion or prohibiting the free exercise thereof. The Territories of the United States are subject to the direct legislative authority of Congress, and hence the General Government is responsible for any violation of the Constitution in any of them. It is therefore a reproach to the Government that in the most populous of the Territories the constitutional guaranty is not enjoyed by the people and the authority of Congress is set at naught. The Mormon Church not only offends the moral sense of manhood by sanctioning polygamy, but prevents the administration of justice through ordinary instrumentalities of law."
,,,,,
,,,,,"In my judgment it is the duty of Congress, while respecting to the uttermost the conscientious convictions and religious scruples of every citizen, to prohibit within its jurisdiction all criminal practices, especially of that class which destroy the family relations and endanger social order. Nor can any ecclesiastical organization be safely permitted to usurp in the smallest degree the functions and powers of the National Government."
,,,,,
,,,,,"The civil service can never be placed on a satisfactory basis until it is regulated by law. For the good of the service itself, for the protection of those who are intrusted with the appointing power against the waste of time and obstruction to the public business caused by the inordinate pressure for place, and for the protection of incumbents against intrigue and wrong, I shall at the proper time ask Congress to fix the tenure of the minor offices of the several Executive Departments and prescribe the grounds upon which removals shall be made during the terms for which incumbents have been appointed."
,,,,,
,,,,,"Finally, acting always within the authority and limitations of the Constitution, invading neither the rights of the States nor the reserved rights of the people, it will be the purpose of my Administration to maintain the authority of the nation in all places within its jurisdiction; to enforce obedience to all the laws of the Union in the interests of the people; to demand rigid economy in all the expenditures of the Government, and to require the honest and faithful service of all executive officers, remembering that the offices were created, not for the benefit of incumbents or their supporters, but for the service of the Government."
,,,,,
,,,,,"And now, fellow-citizens, I am about to assume the great trust which you have committed to my hands. I appeal to you for that earnest and thoughtful support which makes this Government in fact, as it is in law, a government of the people."
,,,,,
,,,,,"I shall greatly rely upon the wisdom and patriotism of Congress and of those who may share with me the responsibilities and duties of administration, and, above all, upon our efforts to promote the welfare of this great people and their Government I reverently invoke the support and blessings of Almighty God."
,,,,,Citizens of the United States:
,,,,,
,,,,,"Your suffrages having elected me to the office of President of the United States, I have, in conformity to the Constitution of our country, taken the oath of office prescribed therein. I have taken this oath without mental reservation and with the determination to do to the best of my ability all that is required of me. The responsibilities of the position I feel, but accept them without fear. The office has come to me unsought; I commence its duties untrammeled. I bring to it a conscious desire and determination to fill it to the best of my ability to the satisfaction of the people."
,,,,,
,,,,,"On all leading questions agitating the public mind I will always express my views to Congress and urge them according to my judgment, and when I think it advisable will exercise the constitutional privilege of interposing a veto to defeat measures which I oppose; but all laws will be faithfully executed, whether they meet my approval or not."
,,,,,
,,,,,"I shall on all subjects have a policy to recommend, but none to enforce against the will of the people. Laws are to govern all alike--those opposed as well as those who favor them. I know no method to secure the repeal of bad or obnoxious laws so effective as their stringent execution."
,,,,,
,,,,,"The country having just emerged from a great rebellion, many questions will come before it for settlement in the next four years which preceding Administrations have never had to deal with. In meeting these it is desirable that they should be approached calmly, without prejudice, hate, or sectional pride, remembering that the greatest good to the greatest number is the object to be attained."
,,,,,
,,,,,"This requires security of person, property, and free religious and political opinion in every part of our common country, without regard to local prejudice. All laws to secure these ends will receive my best efforts for their enforcement."
,,,,,
,,,,,"A great debt has been contracted in securing to us and our posterity the Union. The payment of this, principal and interest, as well as the return to a specie basis as soon as it can be accomplished without material detriment to the debtor class or to the country at large, must be provided for. To protect the national honor, every dollar of Government indebtedness should be paid in gold, unless otherwise expressly stipulated in the contract. Let it be understood that no repudiator of one farthing of our public debt will be trusted in public place, and it will go far toward strengthening a credit which ought to be the best in the world, and will ultimately enable us to replace the debt with bonds bearing less interest than we now pay. To this should be added a faithful collection of the revenue, a strict accountability to the Treasury for every dollar collected, and the greatest practicable retrenchment in expenditure in every department of Government."
,,,,,
,,,,,"When we compare the paying capacity of the country now, with the ten States in poverty from the effects of war, but soon to emerge, I trust, into greater prosperity than ever before, with its paying capacity twenty-five years ago, and calculate what it probably will be twenty-five years hence, who can doubt the feasibility of paying every dollar then with more ease than we now pay for useless luxuries? Why, it looks as though Providence had bestowed upon us a strong box in the precious metals locked up in the sterile mountains of the far West, and which we are now forging the key to unlock, to meet the very contingency that is now upon us."
,,,,,
,,,,,"Ultimately it may be necessary to insure the facilities to reach these riches and it may be necessary also that the General Government should give its aid to secure this access; but that should only be when a dollar of obligation to pay secures precisely the same sort of dollar to use now, and not before. Whilst the question of specie payments is in abeyance the prudent business man is careful about contracting debts payable in the distant future. The nation should follow the same rule. A prostrate commerce is to be rebuilt and all industries encouraged."
,,,,,
,,,,,"The young men of the country--those who from their age must be its rulers twenty-five years hence--have a peculiar interest in maintaining the national honor. A moment's reflection as to what will be our commanding influence among the nations of the earth in their day, if they are only true to themselves, should inspire them with national pride. All divisions--geographical, political, and religious--can join in this common sentiment. How the public debt is to be paid or specie payments resumed is not so important as that a plan should be adopted and acquiesced in. A united determination to do is worth more than divided counsels upon the method of doing. Legislation upon this subject may not be necessary now, or even advisable, but it will be when the civil law is more fully restored in all parts of the country and trade resumes its wonted channels."
,,,,,
,,,,,"It will be my endeavor to execute all laws in good faith, to collect all revenues assessed, and to have them properly accounted for and economically disbursed. I will to the best of my ability appoint to office those only who will carry out this design."
,,,,,
,,,,,"In regard to foreign policy, I would deal with nations as equitable law requires individuals to deal with each other, and I would protect the law-abiding citizen, whether of native or foreign birth, wherever his rights are jeopardized or the flag of our country floats. I would respect the rights of all nations, demanding equal respect for our own. If others depart from this rule in their dealings with us, we may be compelled to follow their precedent."
,,,,,
,,,,,The proper treatment of the original occupants of this land--the Indians one deserving of careful study. I will favor any course toward them which tends to their civilization and ultimate citizenship.
,,,,,
,,,,,"The question of suffrage is one which is likely to agitate the public so long as a portion of the citizens of the nation are excluded from its privileges in any State. It seems to me very desirable that this question should be settled now, and I entertain the hope and express the desire that it may be by the ratification of the fifteenth article of amendment to the Constitution."
,,,,,
,,,,,"In conclusion I ask patient forbearance one toward another throughout the land, and a determined effort on the part of every citizen to do his share toward cementing a happy union; and I ask the prayers of the nation to Almighty God in behalf of this consummation. "
,,,,, My Countrymen:
,,,,,
,,,,,"When one surveys the world about him after the great storm, noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it, if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope. We have seen a world passion spend its fury, but we contemplate our Republic unshaken, and hold our civilization secure. Liberty--liberty within the law--and civilization are inseparable, and though both were threatened we find them now secure; and there comes to Americans the profound assurance that our representative government is the highest expression and surest guaranty of both."
,,,,,
,,,,,"Standing in this presence, mindful of the solemnity of this occasion, feeling the emotions which no one may know until he senses the great weight of responsibility for himself, I must utter my belief in the divine inspiration of the founding fathers. Surely there must have been God's intent in the making of this new-world Republic. Ours is an organic law which had but one ambiguity, and we saw that effaced in a baptism of sacrifice and blood, with union maintained, the Nation supreme, and its concord inspiring. We have seen the world rivet its hopeful gaze on the great truths on which the founders wrought. We have seen civil, human, and religious liberty verified and glorified. In the beginning the Old World scoffed at our experiment; today our foundations of political and social belief stand unshaken, a precious inheritance to ourselves, an inspiring example of freedom and civilization to all mankind. Let us express renewed and strengthened devotion, in grateful reverence for the immortal beginning, and utter our confidence in the supreme fulfillment."
,,,,,
,,,,,"The recorded progress of our Republic, materially and spiritually, in itself proves the wisdom of the inherited policy of noninvolvement in Old World affairs. Confident of our ability to work out our own destiny, and jealously guarding our right to do so, we seek no part in directing the destinies of the Old World. We do not mean to be entangled. We will accept no responsibility except as our own conscience and judgment, in each instance, may determine."
,,,,,
,,,,,"Our eyes never will be blind to a developing menace, our ears never deaf to the call of civilization. We recognize the new order in the world, with the closer contacts which progress has wrought. We sense the call of the human heart for fellowship, fraternity, and cooperation. We crave friendship and harbor no hate. But America, our America, the America builded on the foundation laid by the inspired fathers, can be a party to no permanent military alliance. It can enter into no political commitments, nor assume any economic obligations which will subject our decisions to any other than our own authority."
,,,,,
,,,,,"I am sure our own people will not misunderstand, nor will the world misconstrue. We have no thought to impede the paths to closer relationship. We wish to promote understanding. We want to do our part in making offensive warfare so hateful that Governments and peoples who resort to it must prove the righteousness of their cause or stand as outlaws before the bar of civilization."
,,,,,
,,,,,"We are ready to associate ourselves with the nations of the world, great and small, for conference, for counsel; to seek the expressed views of world opinion; to recommend a way to approximate disarmament and relieve the crushing burdens of military and naval establishments. We elect to participate in suggesting plans for mediation, conciliation, and arbitration, and would gladly join in that expressed conscience of progress, which seeks to clarify and write the laws of international relationship, and establish a world court for the disposition of such justiciable questions as nations are agreed to submit thereto. In expressing aspirations, in seeking practical plans, in translating humanity's new concept of righteousness and justice and its hatred of war into recommended action we are ready most heartily to unite, but every commitment must be made in the exercise of our national sovereignty. Since freedom impelled, and independence inspired, and nationality exalted, a world supergovernment is contrary to everything we cherish and can have no sanction by our Republic. This is not selfishness, it is sanctity. It is not aloofness, it is security. It is not suspicion of others, it is patriotic adherence to the things which made us what we are."
,,,,,
,,,,,"Today, better than ever before, we know the aspirations of humankind, and share them. We have come to a new realization of our place in the world and a new appraisal of our Nation by the world. The unselfishness of these United States is a thing proven; our devotion to peace for ourselves and for the world is well established; our concern for preserved civilization has had its impassioned and heroic expression. There was no American failure to resist the attempted reversion of civilization; there will be no failure today or tomorrow."
,,,,,
,,,,,"The success of our popular government rests wholly upon the correct interpretation of the deliberate, intelligent, dependable popular will of America. In a deliberate questioning of a suggested change of national policy, where internationality was to supersede nationality, we turned to a referendum, to the American people. There was ample discussion, and there is a public mandate in manifest understanding."
,,,,,
,,,,,"America is ready to encourage, eager to initiate, anxious to participate in any seemly program likely to lessen the probability of war, and promote that brotherhood of mankind which must be God's highest conception of human relationship. Because we cherish ideals of justice and peace, because we appraise international comity and helpful relationship no less highly than any people of the world, we aspire to a high place in the moral leadership of civilization, and we hold a maintained America, the proven Republic, the unshaken temple of representative democracy, to be not only an inspiration and example, but the highest agency of strengthening good will and promoting accord on both continents."
,,,,,
,,,,,"Mankind needs a world-wide benediction of understanding. It is needed among individuals, among peoples, among governments, and it will inaugurate an era of good feeling to make the birth of a new order. In such understanding men will strive confidently for the promotion of their better relationships and nations will promote the comities so essential to peace."
,,,,,
,,,,,"We must understand that ties of trade bind nations in closest intimacy, and none may receive except as he gives. We have not strengthened ours in accordance with our resources or our genius, notably on our own continent, where a galaxy of Republics reflects the glory of new-world democracy, but in the new order of finance and trade we mean to promote enlarged activities and seek expanded confidence."
,,,,,
,,,,,"Perhaps we can make no more helpful contribution by example than prove a Republic's capacity to emerge from the wreckage of war. While the world's embittered travail did not leave us devastated lands nor desolated cities, left no gaping wounds, no breast with hate, it did involve us in the delirium of expenditure, in expanded currency and credits, in unbalanced industry, in unspeakable waste, and disturbed relationships. While it uncovered our portion of hateful selfishness at home, it also revealed the heart of America as sound and fearless, and beating in confidence unfailing."
,,,,,
,,,,,"Amid it all we have riveted the gaze of all civilization to the unselfishness and the righteousness of representative democracy, where our freedom never has made offensive warfare, never has sought territorial aggrandizement through force, never has turned to the arbitrament of arms until reason has been exhausted. When the Governments of the earth shall have established a freedom like our own and shall have sanctioned the pursuit of peace as we have practiced it, I believe the last sorrow and the final sacrifice of international warfare will have been written."
,,,,,
,,,,,"Let me speak to the maimed and wounded soldiers who are present today, and through them convey to their comrades the gratitude of the Republic for their sacrifices in its defense. A generous country will never forget the services you rendered, and you may hope for a policy under Government that will relieve any maimed successors from taking your places on another such occasion as this."
,,,,,
,,,,,"Our supreme task is the resumption of our onward, normal way. Reconstruction, readjustment, restoration all these must follow. I would like to hasten them. If it will lighten the spirit and add to the resolution with which we take up the task, let me repeat for our Nation, we shall give no people just cause to make war upon us; we hold no national prejudices; we entertain no spirit of revenge; we do not hate; we do not covet; we dream of no conquest, nor boast of armed prowess."
,,,,,
,,,,,"If, despite this attitude, war is again forced upon us, I earnestly hope a way may be found which will unify our individual and collective strength and consecrate all America, materially and spiritually, body and soul, to national defense. I can vision the ideal republic, where every man and woman is called under the flag for assignment to duty for whatever service, military or civic, the individual is best fitted; where we may call to universal service every plant, agency, or facility, all in the sublime sacrifice for country, and not one penny of war profit shall inure to the benefit of private individual, corporation, or combination, but all above the normal shall flow into the defense chest of the Nation. There is something inherently wrong, something out of accord with the ideals of representative democracy, when one portion of our citizenship turns its activities to private gain amid defensive war while another is fighting, sacrificing, or dying for national preservation."
,,,,,
,,,,,"Out of such universal service will come a new unity of spirit and purpose, a new confidence and consecration, which would make our defense impregnable, our triumph assured. Then we should have little or no disorganization of our economic, industrial, and commercial systems at home, no staggering war debts, no swollen fortunes to flout the sacrifices of our soldiers, no excuse for sedition, no pitiable slackerism, no outrage of treason. Envy and jealousy would have no soil for their menacing development, and revolution would be without the passion which engenders it."
,,,,,
,,,,,"A regret for the mistakes of yesterday must not, however, blind us to the tasks of today. War never left such an aftermath. There has been staggering loss of life and measureless wastage of materials. Nations are still groping for return to stable ways. Discouraging indebtedness confronts us like all the war-torn nations, and these obligations must be provided for. No civilization can survive repudiation."
,,,,,
,,,,,"We can reduce the abnormal expenditures, and we will. We can strike at war taxation, and we must. We must face the grim necessity, with full knowledge that the task is to be solved, and we must proceed with a full realization that no statute enacted by man can repeal the inexorable laws of nature. Our most dangerous tendency is to expect too much of government, and at the same time do for it too little. We contemplate the immediate task of putting our public household in order. We need a rigid and yet sane economy, combined with fiscal justice, and it must be attended by individual prudence and thrift, which are so essential to this trying hour and reassuring for the future."
,,,,,
,,,,,"The business world reflects the disturbance of war's reaction. Herein flows the lifeblood of material existence. The economic mechanism is intricate and its parts interdependent, and has suffered the shocks and jars incident to abnormal demands, credit inflations, and price upheavals. The normal balances have been impaired, the channels of distribution have been clogged, the relations of labor and management have been strained. We must seek the readjustment with care and courage. Our people must give and take. Prices must reflect the receding fever of war activities. Perhaps we never shall know the old levels of wages again, because war invariably readjusts compensations, and the necessaries of life will show their inseparable relationship, but we must strive for normalcy to reach stability. All the penalties will not be light, nor evenly distributed. There is no way of making them so. There is no instant step from disorder to order. We must face a condition of grim reality, charge off our losses and start afresh. It is the oldest lesson of civilization. I would like government to do all it can to mitigate; then, in understanding, in mutuality of interest, in concern for the common good, our tasks will be solved. No altered system will work a miracle. Any wild experiment will only add to the confusion. Our best assurance lies in efficient administration of our proven system."
,,,,,
,,,,,"The forward course of the business cycle is unmistakable. Peoples are turning from destruction to production. Industry has sensed the changed order and our own people are turning to resume their normal, onward way. The call is for productive America to go on. I know that Congress and the Administration will favor every wise Government policy to aid the resumption and encourage continued progress."
,,,,,
,,,,,"I speak for administrative efficiency, for lightened tax burdens, for sound commercial practices, for adequate credit facilities, for sympathetic concern for all agricultural problems, for the omission of unnecessary interference of Government with business, for an end to Government's experiment in business, and for more efficient business in Government administration. With all of this must attend a mindfulness of the human side of all activities, so that social, industrial, and economic justice will be squared with the purposes of a righteous people."
,,,,,
,,,,,"With the nation-wide induction of womanhood into our political life, we may count upon her intuitions, her refinements, her intelligence, and her influence to exalt the social order. We count upon her exercise of the full privileges and the performance of the duties of citizenship to speed the attainment of the highest state."
,,,,,
,,,,,"I wish for an America no less alert in guarding against dangers from within than it is watchful against enemies from without. Our fundamental law recognizes no class, no group, no section; there must be none in legislation or administration. The supreme inspiration is the common weal. Humanity hungers for international peace, and we crave it with all mankind. My most reverent prayer for America is for industrial peace, with its rewards, widely and generally distributed, amid the inspirations of equal opportunity. No one justly may deny the equality of opportunity which made us what we are. We have mistaken unpreparedness to embrace it to be a challenge of the reality, and due concern for making all citizens fit for participation will give added strength of citizenship and magnify our achievement."
,,,,,
,,,,,"If revolution insists upon overturning established order, let other peoples make the tragic experiment. There is no place for it in America. When World War threatened civilization we pledged our resources and our lives to its preservation, and when revolution threatens we unfurl the flag of law and order and renew our consecration. Ours is a constitutional freedom where the popular will is the law supreme and minorities are sacredly protected. Our revisions, reformations, and evolutions reflect a deliberate judgment and an orderly progress, and we mean to cure our ills, but never destroy or permit destruction by force."
,,,,,
,,,,,"I had rather submit our industrial controversies to the conference table in advance than to a settlement table after conflict and suffering. The earth is thirsting for the cup of good will, understanding is its fountain source. I would like to acclaim an era of good feeling amid dependable prosperity and all the blessings which attend."
,,,,,
,,,,,"It has been proved again and again that we cannot, while throwing our markets open to the world, maintain American standards of living and opportunity, and hold our industrial eminence in such unequal competition. There is a luring fallacy in the theory of banished barriers of trade, but preserved American standards require our higher production costs to be reflected in our tariffs on imports. Today, as never before, when peoples are seeking trade restoration and expansion, we must adjust our tariffs to the new order. We seek participation in the world's exchanges, because therein lies our way to widened influence and the triumphs of peace. We know full well we cannot sell where we do not buy, and we cannot sell successfully where we do not carry. Opportunity is calling not alone for the restoration, but for a new era in production, transportation and trade. We shall answer it best by meeting the demand of a surpassing home market, by promoting self- reliance in production, and by bidding enterprise, genius, and efficiency to carry our cargoes in American bottoms to the marts of the world."
,,,,,
,,,,,"We would not have an America living within and for herself alone, but we would have her self-reliant, independent, and ever nobler, stronger, and richer. Believing in our higher standards, reared through constitutional liberty and maintained opportunity, we invite the world to the same heights. But pride in things wrought is no reflex of a completed task. Common welfare is the goal of our national endeavor. Wealth is not inimical to welfare; it ought to be its friendliest agency. There never can be equality of rewards or possessions so long as the human plan contains varied talents and differing degrees of industry and thrift, but ours ought to be a country free from the great blotches of distressed poverty. We ought to find a way to guard against the perils and penalties of unemployment. We want an America of homes, illumined with hope and happiness, where mothers, freed from the necessity for long hours of toil beyond their own doors, may preside as befits the hearthstone of American citizenship. We want the cradle of American childhood rocked under conditions so wholesome and so hopeful that no blight may touch it in its development, and we want to provide that no selfish interest, no material necessity, no lack of opportunity shall prevent the gaining of that education so essential to best citizenship."
,,,,,
,,,,,"There is no short cut to the making of these ideals into glad realities. The world has witnessed again and again the futility and the mischief of ill-considered remedies for social and economic disorders. But we are mindful today as never before of the friction of modern industrialism, and we must learn its causes and reduce its evil consequences by sober and tested methods. Where genius has made for great possibilities, justice and happiness must be reflected in a greater common welfare."
,,,,,
,,,,,"Service is the supreme commitment of life. I would rejoice to acclaim the era of the Golden Rule and crown it with the autocracy of service. I pledge an administration wherein all the agencies of Government are called to serve, and ever promote an understanding of Government purely as an expression of the popular will."
,,,,,
,,,,,"One cannot stand in this presence and be unmindful of the tremendous responsibility. The world upheaval has added heavily to our tasks. But with the realization comes the surge of high resolve, and there is reassurance in belief in the God-given destiny of our Republic. If I felt that there is to be sole responsibility in the Executive for the America of tomorrow I should shrink from the burden. But here are a hundred millions, with common concern and shared responsibility, answerable to God and country. The Republic summons them to their duty, and I invite co-operation."
,,,,,
,,,,,"I accept my part with single-mindedness of purpose and humility of spirit, and implore the favor and guidance of God in His Heaven. With these I am unafraid, and confidently face the future."
,,,,,
,,,,,"I have taken the solemn oath of office on that passage of Holy Writ wherein it is asked: ""What doth the Lord require of thee but to do justly, and to love mercy, and to walk humbly with thy God?"" This I plight to God and country."
,,,,,Fellow-Citizens:
,,,,,
,,,,,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people, but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people, to whose service the official oath consecrates the officer, have been called to witness the solemn ceremonial. The oath taken in the presence of the people becomes a mutual covenant. The officer covenants to serve the whole body of the people by a faithful execution of the laws, so that they may be the unfailing defense and security of those who respect and observe them, and that neither wealth, station, nor the power of combinations shall be able to evade their just penalties or to wrest them from a beneficent public purpose to serve the ends of cruelty or selfishness."
,,,,,
,,,,,"My promise is spoken; yours unspoken, but not the less real and solemn. The people of every State have here their representatives. Surely I do not misinterpret the spirit of the occasion when I assume that the whole body of the people covenant with me and with each other to-day to support and defend the Constitution and the Union of the States, to yield willing obedience to all the laws and each to every other citizen his equal civil and political rights. Entering thus solemnly into covenant with each other, we may reverently invoke and confidently expect the favor and help of Almighty God--that He will give to me wisdom, strength, and fidelity, and to our people a spirit of fraternity and a love of righteousness and peace."
,,,,,
,,,,,"This occasion derives peculiar interest from the fact that the Presidential term which begins this day is the twenty-sixth under our Constitution. The first inauguration of President Washington took place in New York, where Congress was then sitting, on the 30th day of April, 1789, having been deferred by reason of delays attending the organization of the Congress and the canvass of the electoral vote. Our people have already worthily observed the centennials of the Declaration of Independence, of the battle of Yorktown, and of the adoption of the Constitution, and will shortly celebrate in New York the institution of the second great department of our constitutional scheme of government. When the centennial of the institution of the judicial department, by the organization of the Supreme Court, shall have been suitably observed, as I trust it will be, our nation will have fully entered its second century."
,,,,,
,,,,,"I will not attempt to note the marvelous and in great part happy contrasts between our country as it steps over the threshold into its second century of organized existence under the Constitution and that weak but wisely ordered young nation that looked undauntedly down the first century, when all its years stretched out before it."
,,,,,
,,,,,"Our people will not fail at this time to recall the incidents which accompanied the institution of government under the Constitution, or to find inspiration and guidance in the teachings and example of Washington and his great associates, and hope and courage in the contrast which thirty-eight populous and prosperous States offer to the thirteen States, weak in everything except courage and the love of liberty, that then fringed our Atlantic seaboard."
,,,,,
,,,,,"The Territory of Dakota has now a population greater than any of the original States (except Virginia) and greater than the aggregate of five of the smaller States in 1790. The center of population when our national capital was located was east of Baltimore, and it was argued by many well-informed persons that it would move eastward rather than westward; yet in 1880 it was found to be near Cincinnati, and the new census about to be taken will show another stride to the westward. That which was the body has come to be only the rich fringe of the nation's robe. But our growth has not been limited to territory, population and aggregate wealth, marvelous as it has been in each of those directions. The masses of our people are better fed, clothed, and housed than their fathers were. The facilities for popular education have been vastly enlarged and more generally diffused."
,,,,,
,,,,,The virtues of courage and patriotism have given recent proof of their continued presence and increasing power in the hearts and over the lives of our people. The influences of religion have been multiplied and strengthened. The sweet offices of charity have greatly increased. The virtue of temperance is held in higher estimation. We have not attained an ideal condition. Not all of our people are happy and prosperous; not all of them are virtuous and law-abiding. But on the whole the opportunities offered to the individual to secure the comforts of life are better than are found elsewhere and largely better than they were here one hundred years ago.
,,,,,
,,,,,"The surrender of a large measure of sovereignty to the General Government, effected by the adoption of the Constitution, was not accomplished until the suggestions of reason were strongly reenforced by the more imperative voice of experience. The divergent interests of peace speedily demanded a ""more perfect union."" The merchant, the shipmaster, and the manufacturer discovered and disclosed to our statesmen and to the people that commercial emancipation must be added to the political freedom which had been so bravely won. The commercial policy of the mother country had not relaxed any of its hard and oppressive features. To hold in check the development of our commercial marine, to prevent or retard the establishment and growth of manufactures in the States, and so to secure the American market for their shops and the carrying trade for their ships, was the policy of European statesmen, and was pursued with the most selfish vigor."
,,,,,
,,,,,"Petitions poured in upon Congress urging the imposition of discriminating duties that should encourage the production of needed things at home. The patriotism of the people, which no longer found afield of exercise in war, was energetically directed to the duty of equipping the young Republic for the defense of its independence by making its people self-dependent. Societies for the promotion of home manufactures and for encouraging the use of domestics in the dress of the people were organized in many of the States. The revival at the end of the century of the same patriotic interest in the preservation and development of domestic industries and the defense of our working people against injurious foreign competition is an incident worthy of attention. It is not a departure but a return that we have witnessed. The protective policy had then its opponents. The argument was made, as now, that its benefits inured to particular classes or sections."
,,,,,
,,,,,"If the question became in any sense or at any time sectional, it was only because slavery existed in some of the States. But for this there was no reason why the cotton-producing States should not have led or walked abreast with the New England States in the production of cotton fabrics. There was this reason only why the States that divide with Pennsylvania the mineral treasures of the great southeastern and central mountain ranges should have been so tardy in bringing to the smelting furnace and to the mill the coal and iron from their near opposing hillsides. Mill fires were lighted at the funeral pile of slavery. The emancipation proclamation was heard in the depths of the earth as well as in the sky; men were made free, and material things became our better servants."
,,,,,
,,,,,"The sectional element has happily been eliminated from the tariff discussion. We have no longer States that are necessarily only planting States. None are excluded from achieving that diversification of pursuits among the people which brings wealth and contentment. The cotton plantation will not be less valuable when the product is spun in the country town by operatives whose necessities call for diversified crops and create a home demand for garden and agricultural products. Every new mine, furnace, and factory is an extension of the productive capacity of the State more real and valuable than added territory."
